CODIGO,NOMBRE,DEPARTAMENTO_CODIGO
"","",""
AGUACHICA,AGUACHICA,CESAR
ANTONIO NARIÑO,ANTONIO NARIÑO,BOGOT DC
BARRANQUILLA,BARRANQUILLA,ATLANTICO
BARRIOS UNIDOS,BARRIOS UNIDOS,BOGOT DC
BOSA,BOSA,BOGOT DC
CHAPINERO,CHAPINERO,BOGOT DC
CIUDAD BOLIVAR,CIUDAD BOLIVAR,BOGOT DC
ENGATIV,ENGATIV,BOGOT DC
ENGATIVA,ENGATIVA,BOGOT DC
FONTIBN,FONTIBN,BOGOT DC
FUNZA,FUNZA,CUNDINAMARCA
KENNEDY,KENNEDY,BOGOT DC
LA CANDELARIA,LA CANDELARIA,BOGOT DC
MARTIRES,MARTIRES,BOGOT DC
MOSQUERA,MOSQUERA,CUNDINAMARCA
PUENTE ARANDA,PUENTE ARANDA,BOGOT DC
RAFAEL URIBE URIBE,RAFAEL URIBE URIBE,BOGOT DC
SAN CRISTOBAL SUR,SAN CRISTOBAL SUR,BOGOT DC
SANTA FE,SANTA FE,BOGOT DC
SOACHA,SOACHA,CUNDINAMARCA
SUBA,SUBA,BOGOT DC
SUMAPAZ,SUMAPAZ,BOGOT DC
TEUSAQUILLO,TEUSAQUILLO,BOGOT DC
TUNJUELITO,TUNJUELITO,BOGOT DC
USAQUN,USAQUN,BOGOT DC
USME,USME,BOGOT DC